"Turnover ;  New South Wales ;  Supermarket and grocery stores ;"
Bal-82;303,1
Geg-82;297,8
Bir-82;298
Lie-82;307,9
Rgp-1982;299,2
Rgs-1982;305,4
Spl-1982;318
Lap-82;334,4
Grd-1982;389,6
Sau-83;311,4
Vas-83;327,2
Kov-83;350,9
Bal-83;323,4
Geg-83;316,6
Bir-83;325,4
Lie-83;323,1
Rgp-1983;338,1
Rgs-1983;330,6
Spl-1983;351,1
Lap-83;361,5
Grd-1983;430,9
Sau-84;333,2
Vas-84;343,3
Kov-84;344,8
Bal-84;345,9
Geg-84;352
Bir-84;348,9
Lie-84;348,6
Rgp-1984;374,6
Rgs-1984;345,7
Spl-1984;373,5
Lap-84;378,7
Grd-1984;432,6
Sau-85;376,4
Vas-85;352
Kov-85;371,8
Bal-85;366,6
Geg-85;391
Bir-85;369,4
Lie-85;423,8
Rgp-1985;401,9
Rgs-1985;388,6
Spl-1985;420
Lap-85;422,5
Grd-1985;481,3
Sau-86;420,7
Vas-86;392,9
Kov-86;419,4
Bal-86;415
Geg-86;440
Bir-86;418,8
Lie-86;451,9
Rgp-1986;446,2
Rgs-1986;444,3
Spl-1986;458,6
Lap-86;454,7
Grd-1986;528,1
Sau-87;466,4
Vas-87;430,5
Kov-87;447,7
Bal-87;455,5
Geg-87;459,8
Bir-87;443,2
Lie-87;460,1
Rgp-1987;463,6
Rgs-1987;459,8
Spl-1987;478,9
Lap-87;478,7
Grd-1987;565,4
Sau-88;479,2
Vas-88;467,2
Kov-88;501,1
Bal-88;484,6
Geg-88;481,2
Bir-88;482,9
Lie-88;479,2
Rgp-1988;494,5
Rgs-1988;508,6
Spl-1988;509,2
Lap-88;535,8
Grd-1988;627,7
Sau-89;507,8
Vas-89;503,2
Kov-89;578,3
Bal-89;546,5
Geg-89;540,7
Bir-89;546,9
Lie-89;549,5
Rgp-1989;570,1
Rgs-1989;575,8
Spl-1989;556,1
Lap-89;586,8
Grd-1989;702
Sau-90;563,1
Vas-90;558,2
Kov-90;608,8
Bal-90;570,2
Geg-90;596,2
Bir-90;605,4
Lie-90;594,8
Rgp-1990;644,1
Rgs-1990;604,4
Spl-1990;630,1
Lap-90;665,7
Grd-1990;737,9
Sau-91;677,9
Vas-91;617,3
Kov-91;672,3
Bal-91;623,1
Geg-91;666,9
Bir-91;621,1
Lie-91;657,7
Rgp-1991;711
Rgs-1991;639,2
Spl-1991;696,7
Lap-91;701,9
Grd-1991;772,1
Sau-92;707,9
Vas-92;676,2
Kov-92;697,3
Bal-92;720,2
Geg-92;713
Bir-92;688,4
Lie-92;738,3
Rgp-1992;721,4
Rgs-1992;714,2
Spl-1992;757,5
Lap-92;716,2
Grd-1992;832,8
Sau-93;734,9
Vas-93;710,8
Kov-93;754,8
Bal-93;755,9
Geg-93;752,9
Bir-93;730,6
Lie-93;747,1
Rgp-1993;724,5
Rgs-1993;744,4
Spl-1993;767,2
Lap-93;763,6
Grd-1993;889,4
Sau-94;765,8
Vas-94;736,4
Kov-94;810,5
Bal-94;756
Geg-94;770,8
Bir-94;782
Lie-94;801,3
Rgp-1994;806,7
Rgs-1994;812,8
Spl-1994;818,7
Lap-94;808,4
Grd-1994;943,4
Sau-95;792
Vas-95;755
Kov-95;838
Bal-95;819,9
Geg-95;834,8
Bir-95;832,8
Lie-95;838,6
Rgp-1995;878,3
Rgs-1995;846,4
Spl-1995;885,5
Lap-95;905,7
Grd-1995;1020,8
Sau-96;884,2
Vas-96;878,2
Kov-96;910,9
Bal-96;882,4
Geg-96;936,1
Bir-96;888,1
Lie-96;914,4
Rgp-1996;952,1
Rgs-1996;905
Spl-1996;958,9
Lap-96;965,9
Grd-1996;1040,8
Sau-97;978,6
Vas-97;899,6
Kov-97;986,3
Bal-97;928,1
Geg-97;985,3
Bir-97;909,8
Lie-97;960,6
Rgp-1997;972
Rgs-1997;946,9
Spl-1997;1022,6
Lap-97;1001,1
Grd-1997;1115
Sau-98;1039,1
Vas-98;940,6
Kov-98;1003,8
Bal-98;995,6
Geg-98;1006,6
Bir-98;962,9
Lie-98;1007,7
Rgp-1998;1003,3
Rgs-1998;999,1
Spl-1998;1109,4
Lap-98;1041,8
Grd-1998;1186,6
Sau-99;1104,6
Vas-99;1001
Kov-99;1108,9
Bal-99;1043,4
Geg-99;1060,1
Bir-99;1029,5
Lie-99;1080,8
Rgp-1999;1058,5
Rgs-1999;1074,3
Spl-1999;1125,5
Lap-99;1095,8
Grd-1999;1269,4
Sau-00;1130,1
Vas-00;1072,7
Kov-00;1145,4
Bal-00;1099,2
Geg-00;1099,9
Bir-00;1090,3
Lie-00;1108,6
Rgp-2000;1154,3
Rgs-2000;1146,6
Spl-2000;1179,7
Lap-00;1176,8
Grd-2000;1347,3
Sau-01;1200,8
Vas-01;1123,9
Kov-01;1241,5
Bal-01;1208,6
Geg-01;1246,4
Bir-01;1211,1
Lie-01;1220,1
Rgp-2001;1274
Rgs-2001;1249,7
Spl-2001;1300,1
Lap-01;1313,9
Grd-2001;1433,8
Sau-02;1353,9
Vas-02;1215,4
Kov-02;1350,8
Bal-02;1272,7
Geg-02;1337,3
Bir-02;1257,2
Lie-02;1266,6
Rgp-2002;1324,9
Rgs-2002;1262
Spl-2002;1375,9
Lap-02;1369,5
Grd-2002;1484
Sau-03;1420,9
Vas-03;1286,8
Kov-03;1400,3
Bal-03;1355,7
Geg-03;1399,6
Bir-03;1286
Lie-03;1376,2
Rgp-2003;1383
Rgs-2003;1359,6
Spl-2003;1461,5
Lap-03;1435,1
Grd-2003;1595,3
Sau-04;1533,8
Vas-04;1413,3
Kov-04;1472,1
Bal-04;1469,1
Geg-04;1475,3
Bir-04;1412,5
Lie-04;1508,5
Rgp-2004;1476,3
Rgs-2004;1490,9
Spl-2004;1542,3
Lap-04;1513,4
Grd-2004;1717,9
Sau-05;1535,2
Vas-05;1416,9
Kov-05;1555,3
Bal-05;1481,8
Geg-05;1473
Bir-05;1452
Lie-05;1546,2
Rgp-2005;1553,4
Rgs-2005;1545,8
Spl-2005;1593,8
Lap-05;1558,3
Grd-2005;1776,1
Sau-06;1585,2
Vas-06;1480,1
Kov-06;1635,1
Bal-06;1582,7
Geg-06;1572,3
Bir-06;1557,4
Lie-06;1591,7
Rgp-2006;1636
Rgs-2006;1614,7
Spl-2006;1677
Lap-06;1683,8
Grd-2006;1873
Sau-07;1684,4
Vas-07;1557,4
Kov-07;1740,8
Bal-07;1649,9
Geg-07;1678
Bir-07;1642
Lie-07;1695,7
Rgp-2007;1762,9
Rgs-2007;1740,8
Spl-2007;1853,8
Lap-07;1897,1
Grd-2007;2054,7
